116,2019-03-03,095-0739,14000,n/a,4,14
117,2019-02-03,094-3981,19000,n/a,4,14
118,2019-02-03,094-3896,18000,n/a,4,14
119,2019-01-06,093-5483,15000,n/a,4,15
120,2019-01-06,093-4991,7500,n/a,4,19
121,2019-01-06,093-4881,8000,n/a,4,18
122,2019-01-06,093-4882,6500,n/a,4,19
123,2019-01-06,093-4883,8000,n/a,4,20
124,2019-01-06,093-3605,17000,n/a,4,14
125,2018-12-02,092-4508,24000,n/a,4,14
126,2018-12-02,092-4046,65000,Bottle 251,4,17
127,2018-12-02,092-2394,23000,n/a,4,14
128,2018-12-02,092-2293,2000,n/a,4,26
129,2018-12-02,092-2294,2000,n/a,4,26
130,2018-11-04,091-5559,2500,n/a,4,25
131,2018-11-04,091-5564,2500,n/a,4,23
132,2018-11-04,091-0551,3000,n/a,4,0
133,2018-10-07,090-6170,44000,Bottle 205,4,17
134,2018-10-07,090-4072,5500,n/a,4,21
135,2018-10-07,090-3453,46000,Bottle 149,4,17
136,2018-09-02,089-4567,4500,n/a,4,23
137,2018-09-02,089-4568,3000,n/a,4,25
138,2018-09-02,089-3958,4000,n/a,4,9
139,2018-09-02,089-2953,3000,n/a,4,25
140,2018-09-02,089-2954,3000,n/a,4,23
141,2018-09-02,089-2416,5500,n/a,4,18
142,2018-09-02,089-2417,4500,n/a,4,20
143,2018-09-02,089-2418,4500,n/a,4,19
144,2018-08-05,088-3320,5000,n/a,4,18
145,2018-08-05,088-3322,4000,n/a,4,19
146,2018-08-05,088-3075,4500,n/a,4,18
147,2018-08-05,088-3076,3500,n/a,4,19
148,2018-08-05,088-3077,4500,n/a,4,20
149,2018-08-05,088-1708,65000,Bottle 226,4,17
150,2018-07-01,087-4322,4500,n/a,4,21
151,2018-07-01,087-4324,4000,n/a,4,22
152,2018-07-01,087-1615,4500,n/a,4,20
153,2018-07-01,087-1616,5500,n/a,4,19
154,2018-07-01,087-1617,7500,n/a,4,18
155,2018-06-03,086-5337,2500,n/a,4,23
156,2018-06-03,086-5338,3000,n/a,4,25
157,2018-05-06,085-5975,6500,n/a,4,9
158,2018-04-01,084-0707,6500,n/a,4,13
159,2018-04-01,084-0708,6000,n/a,4,13
160,2018-01-07,081-0489,3500,n/a,4,12
161,2018-01-07,081-0496,4500,n/a,4,12
162,2017-12-03,080-0447,9000,n/a,4,13
163,2017-11-05,079-2304,2500,n/a,4,10
164,2017-10-01,078-2888,7500,n/a,4,13
165,2017-07-02,075-1130,2500,n/a,4,10
166,2017-07-02,075-1137,2500,n/a,4,10
167,2017-06-04,074-2035,3000,n/a,4,10
168,2020-04-24,42707,82000,Bottle 101,1,17
169,2020-04-24,42771,8500,n/a,1,15
170,2020-04-24,42769,13000,n/a,1,14
171,2018-10-30,1018/884,7250,n/a,5,14
172,2019-03-31,003831,4700,n/a,6,24
173,2019-07-09,60580,4500,n/a,7,24
174,2018-09-11,40464,2500,n/a,7,1
175,2018-01-16,27958,2000,n/a,7,8
176,2018-01-16,27959,2000,n/a,7,7
177,2018-09-11,40462,2000,n/a,7,5
178,2018-09-11,40463,1400,n/a,7,3
179,2019-09-08,060322,4500,n/a,8,21
180,2020-03-08,110723,80000,n/a,8,17
181,2019-09-08,060135,70000,n/a,8,17
182,2019-11-18,080165,60000,n/a,8,17
183,2020-03-01,200331,4500,n/a,9,34
184,2020-05-24,44195,2750,n/a,2,32
185,2020-05-24,44197,4000,n/a,2,26
186,2020-06-01,263070,4000,n/a,3,23
187,2020-06-01,263075,4300,n/a,3,25
188,2020-06-01,263072,4800,n/a,3,28
189,2020-06-01,263071,5100,n/a,3,30
190,2020-06-01,263069,6500,n/a,3,27
191,2020-06-01,263073,5100,n/a,3,29
192,2020-06-01,263074,5000,n/a,3,31
193,2020-06-01,263076,6100,n/a,3,26
194,2020-06-07,108-06484,6000,n/a,4,30
195,2020-06-07,108-06413,3000,n/a,4,7
196,2020-06-07,108-05063,10000,n/a,4,21
197,2020-06-07,108-05064,13000,n/a,4,22
198,2020-06-07,108-05065,4000,n/a,4,23
199,2020-06-07,108-05066,4500,n/a,4,25
200,2020-06-07,108-00929,2500,n/a,4,33
201,2020-06-07,108-00930,3000,n/a,4,32
202,2020-06-21,45982,3500,n/a,2,25
203,2020-06-21,48088,3250,n/a,2,2
204,2020-06-21,48156,4000,n/a,2,2
205,2020-07-05,109-02704,5000,n/a,4,23
206,2020-07-05,109-02703,4500,n/a,4,25
207,2020-07-06,270786,7600,n/a,3,24
208,2020-07-06,265665,8000,n/a,3,24
209,2020-07-06,266147,20000,n/a,3,15
210,2020-07-19,800518,10000,n/a,0,11
211,2020-08-03,276474,3000,n/a,3,25
212,2020-08-03,276473,7000,n/a,3,21
